Product,Region,Year,Scenario,Value
Renewables,World,2010,Stated Policies Scenario,43.155
Renewables,World,2022,Stated Policies Scenario,74.381
Renewables,World,2023,Stated Policies Scenario,77.934
Renewables,World,2030,Stated Policies Scenario,120.062
Renewables,World,2035,Stated Policies Scenario,152.936
Renewables,World,2050,Stated Policies Scenario,240.591
Renewables,World,2030,Announced Pledges Scenario,139.519
Renewables,World,2035,Announced Pledges Scenario,196.542
Renewables,World,2050,Announced Pledges Scenario,336.251
Renewables,North America,2010,Stated Policies Scenario,8.828
Renewables,North America,2022,Stated Policies Scenario,12.674
Renewables,North America,2023,Stated Policies Scenario,12.637
Renewables,North America,2030,Stated Policies Scenario,17.901
Renewables,North America,2035,Stated Policies Scenario,22.133
Renewables,North America,2050,Stated Policies Scenario,33.346
Renewables,North America,2030,Announced Pledges Scenario,24.152
Renewables,North America,2035,Announced Pledges Scenario,34.627
Renewables,North America,2050,Announced Pledges Scenario,51.942
Renewables,United States,2010,Stated Policies Scenario,6.627
Renewables,United States,2022,Stated Policies Scenario,10.004
Renewables,United States,2023,Stated Policies Scenario,10.086
Renewables,United States,2030,Stated Policies Scenario,14.408
Renewables,United States,2035,Stated Policies Scenario,18.214
Renewables,United States,2050,Stated Policies Scenario,28.073
Renewables,United States,2030,Announced Pledges Scenario,19.932
Renewables,United States,2035,Announced Pledges Scenario,29.383
Renewables,United States,2050,Announced Pledges Scenario,43.792
Renewables,Central and South America,2010,Stated Policies Scenario,7.66
Renewables,Central and South America,2022,Stated Policies Scenario,9.859
Renewables,Central and South America,2023,Stated Policies Scenario,10.322
Renewables,Central and South America,2030,Stated Policies Scenario,12.72
Renewables,Central and South America,2035,Stated Policies Scenario,14.383
Renewables,Central and South America,2050,Stated Policies Scenario,21.632
Renewables,Central and South America,2030,Announced Pledges Scenario,14.498
Renewables,Central and South America,2035,Announced Pledges Scenario,18.174
Renewables,Central and South America,2050,Announced Pledges Scenario,29.22
Renewables,Brazil,2010,Stated Policies Scenario,5.621
Renewables,Brazil,2022,Stated Policies Scenario,6.944
Renewables,Brazil,2023,Stated Policies Scenario,7.355
Renewables,Brazil,2030,Stated Policies Scenario,8.986
Renewables,Brazil,2035,Stated Policies Scenario,9.804
Renewables,Brazil,2050,Stated Policies Scenario,13.449
Renewables,Brazil,2030,Announced Pledges Scenario,9.946
Renewables,Brazil,2035,Announced Pledges Scenario,11.897
Renewables,Brazil,2050,Announced Pledges Scenario,16.651
Renewables,Europe,2010,Stated Policies Scenario,9.899
Renewables,Europe,2022,Stated Policies Scenario,14.433
Renewables,Europe,2023,Stated Policies Scenario,15.084
Renewables,Europe,2030,Stated Policies Scenario,21.507
Renewables,Europe,2035,Stated Policies Scenario,25.538
Renewables,Europe,2050,Stated Policies Scenario,31.944
Renewables,Europe,2030,Announced Pledges Scenario,24.375
Renewables,Europe,2035,Announced Pledges Scenario,30.297
Renewables,Europe,2050,Announced Pledges Scenario,37.822
Renewables,European Union,2010,Stated Policies Scenario,7.754
Renewables,European Union,2022,Stated Policies Scenario,10.667
Renewables,European Union,2023,Stated Policies Scenario,11.217
Renewables,European Union,2030,Stated Policies Scenario,16.024
Renewables,European Union,2035,Stated Policies Scenario,19.113
Renewables,European Union,2050,Stated Policies Scenario,23.616
Renewables,European Union,2030,Announced Pledges Scenario,18.038
Renewables,European Union,2035,Announced Pledges Scenario,22.349
Renewables,European Union,2050,Announced Pledges Scenario,26.924
Renewables,Africa,2010,Stated Policies Scenario,3.611
Renewables,Africa,2022,Stated Policies Scenario,5.649
Renewables,Africa,2023,Stated Policies Scenario,5.832
Renewables,Africa,2030,Stated Policies Scenario,7.68
Renewables,Africa,2035,Stated Policies Scenario,9.486
Renewables,Africa,2050,Stated Policies Scenario,15.756
Renewables,Africa,2030,Announced Pledges Scenario,6.902
Renewables,Africa,2035,Announced Pledges Scenario,10.227
Renewables,Africa,2050,Announced Pledges Scenario,25.616
Renewables,Middle East,2010,Stated Policies Scenario,0.105
Renewables,Middle East,2022,Stated Policies Scenario,0.212
Renewables,Middle East,2023,Stated Policies Scenario,0.266
Renewables,Middle East,2030,Stated Policies Scenario,1.341
Renewables,Middle East,2035,Stated Policies Scenario,2.375
